id,title,year,venue,doi,peer_reviewed,axis,section,status,verified,notes
zheng2023judging,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,2023,NeurIPS 2023 D&B,,true,classical-nlp-vs-llm,8.4,included,neurips-proceedings,
wang2024llmsnotfair,Large Language Models are not Fair Evaluators,2024,ACL 2024,10.18653/v1/2024.acl-long.511,true,classical-nlp-vs-llm,8.4,included,crossref-doi,Motivates anonymization/order-randomization in 5.7.
panickssery2024llmevaluators,LLM Evaluators Recognize and Favor Their Own Generations,2024,NeurIPS 2024,,true,classical-nlp-vs-llm,8.4,included,neurips-proceedings,Motivates judge != extractor model family requirement in 5.7.
liska2022streamingqa,StreamingQA: A Benchmark for Adaptation to New Knowledge over Time in Question Answering Models,2022,ICML 2022 (PMLR 162),,true,rag-vs-compiled,8.5,included,pmlr,
vu2024freshllms,FreshLLMs: Refreshing Large Language Models with Search Engine Augmentation,2024,Findings of ACL 2024,10.18653/v1/2024.findings-acl.813,true,rag-vs-compiled,8.5,included,crossref-doi,
kasai2023realtimeqa,RealTime QA: What's the Answer Right Now?,2023,NeurIPS 2023 D&B,,true,rag-vs-compiled,8.5,included,neurips-proceedings,Source of H4 rationale (confidently outdated answers).
chen2021dataset,A Dataset for Answering Time-Sensitive Questions,2021,NeurIPS 2021 D&B,,true,rag-vs-compiled,8.5,included,arxiv-2108.06314,
dhingra2022timeaware,Time-Aware Language Models as Temporal Knowledge Bases,2022,TACL 10,10.1162/tacl_a_00459,true,rag-vs-compiled,8.5,included,crossref-doi,
cai2023temporal,Temporal Knowledge Graph Completion: A Survey,2023,IJCAI-23 Survey Track,10.24963/ijcai.2023/734,true,rag-vs-compiled,8.5,included,crossref-doi,
kulkarni2012temporal,Temporal features in SQL:2011,2012,ACM SIGMOD Record 41(3),10.1145/2380776.2380786,true,local-first-privacy,8.5,included,crossref-doi,Valid-time vs transaction-time distinction used for TemporalRelation model.
walsh1991organizational,Organizational Memory,1991,Academy of Management Review 16(1),10.5465/amr.1991.4278992,true,classical-nlp-vs-llm,8.6,included,crossref-doi,
stein1995organization,Organization memory: Review of concepts and recommendations for management,1995,International Journal of Information Management 15(1),10.1016/0268-4012(94)00003-C,true,classical-nlp-vs-llm,8.6,included,crossref-doi,
klammer2019unlearning,Unlearning and forgetting in organizations: a systematic review of literature,2019,Journal of Knowledge Management 23(5),10.1108/JKM-05-2018-0277,true,classical-nlp-vs-llm,8.6,included,crossref-doi,
kunz1970issues,Issues as Elements of Information Systems,1970,UC Berkeley Working Paper No. 131,,true,classical-nlp-vs-llm,8.6,included,primary-source,Primary source of IBIS.
buckinghamshum1994argumentation,Argumentation-based design rationale: what use at what cost?,1994,International Journal of Human-Computer Studies 40(4),10.1006/ijhc.1994.1029,true,classical-nlp-vs-llm,8.6,included,crossref-doi,
grudin1996evaluating,Evaluating Opportunities for Design Capture,1996,"Design Rationale: Concepts, Techniques, and Use (ch. 21)",,true,classical-nlp-vs-llm,8.6,included,publisher-toc,"Book chapter, Lawrence Erlbaum."
zhou2026using,Using LLMs in Generating Design Rationale for Software Architecture Decisions,2026,ACM TOSEM 35(8),10.1145/3785010,true,rag-vs-compiled,8.6,included,crossref-doi,
lebo2013provo,PROV-O: The PROV Ontology,2013,W3C Recommendation,,true,local-first-privacy,8.7,included,w3-org,"W3C Recommendation, 30 April 2013; basis for extraction provenance model."
singh2019decision,Decision Provenance: Harnessing Data Flow for Accountable Systems,2019,IEEE Access 7,10.1109/ACCESS.2018.2887201,true,local-first-privacy,8.7,included,crossref-doi,
tabassi2023airmf,Artificial Intelligence Risk Management Framework (AI RMF 1.0),2023,NIST AI 100-1,10.6028/NIST.AI.100-1,true,local-first-privacy,8.7,included,nist-gov,Ethics framework used in thesis section 6.4; NIST notes it is under review.
okf2026spec,Open Knowledge Format (OKF) - specification v0.1 (draft),2026,Google Cloud (draft spec),,false,local-first-privacy,8.7,included,primary-source,"Draft spec; format used by the OpenKOS instrument, cite as draft."
