decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
TS3005b.d15,TS3005b,TS3005b.rdhillon.s.21,The remote will be button-less.,3,B: So we don't have any normal buttons | C: I think it looks a lot more fancy if you use uh if you don't have any buttons on the s on on remote control . | A: So actually we're going to create a a button-less uh remote . No buttons at all .,,,,,,frase_corta
TS3005c.d01,TS3005c,TS3005c.rdhillon.s.8,The remote will not include a pen.,1,"A: And we won't include a a pen , or something to point ,",,,,,,frase_corta
TS3005c.d02,TS3005c,TS3005c.rdhillon.s.9,The remote will use rechargeable batteries which recharge in a docking station.,6,"C: Uh the batteries , uh we also thought about that already , | C: uh will be chargeable with uh uh an option for a mount station | D: normal plain batteries you can buy at the supermarket or retail shop . Yeah . | D: Maybe it's better to to include rechargeable batteries | A: We already decided that on the previous meeting . | D: which you can recharge through the docking station .",,,,,,
TS3005c.d03,TS3005c,TS3005c.rdhillon.s.10,The remote will use a chip on print.,2,"D: but the p print plate of L_ L_C_D_ screen is more advanced than a normal print plate , | C: Chip on print with a with a <vocalsound> simple uh a sim not a simple but a <disfmarker>",,,,,,frase_corta
TS3005c.d04,TS3005c,TS3005c.rdhillon.s.11,The case will be single curved.,3,C: and how about my idea uh of making it um with one single curve ? | D: I thought that was a quite good | C: Uh got a single curved uh rubber,,,,,,frase_corta
TS3005c.d05,TS3005c,TS3005c.rdhillon.s.12,The case will be made of rubber.,2,C: we wanted to make it from rubber | C: Uh got a single curved uh rubber,,,,,,frase_corta
TS3005c.d06,TS3005c,TS3005c.rdhillon.s.13,The remote will contain a microphone for speech recognition.,0,,,,,,,sin_evidencia
TS3005c.d07,TS3005c,TS3005c.rdhillon.s.14,The remote will have a scrolling device.,3,"C: So then it's uh very handy to to scroll down , | A: And I think I would it would make even more fancy because you have another interesting thing on the side | C: you get w when you use uh the settings menu for example to look up some uh uh some channels on your uh on your television , you should scroll scroll down uh on a menu which probably does not fit on your screen .",,,,,,frase_corta
TS3005d.d01,TS3005d,TS3005d.rdhillon.s.10,The remote uses a conventional battery.,1,"B: A battery . One battery ,",,,,,,
TS3005d.d02,TS3005d,TS3005d.rdhillon.s.11,The remote will not use a sample speaker and feature speech recognition.,4,D: Scrap sample speaker ? | A: you should you should drop the speech recognition . | A: But I think the only option is to drop the uh sample speaker . | A: we we dropped the speech recognition together with the speaker .,,,,,,
TS3005d.d03,TS3005d,TS3005d.rdhillon.s.12,The remote will use an advanced chip.,1,"B: advanced chip ,",,,,,,frase_corta
TS3005d.d04,TS3005d,TS3005d.rdhillon.s.13,The case will be single curved.,4,"B: It uh <disfmarker> oh it's in the background . Oh . | B: it would be uh something like this from the side , but with a bit of uh curve here , | C: Single nee single curved . | A: And then you can keep the curve .",,,,,,frase_corta
TS3005d.d05,TS3005d,TS3005d.rdhillon.s.14,The case is made of rubber.,1,D: Rubber .,,,,,,frase_corta
TS3005d.d06,TS3005d,TS3005d.rdhillon.s.15,The remote will not feature a scroll wheel.,3,"C: <vocalsound> then it's possible to make . | C: You lose this one , you got eleven point five | D: Y yea the scroll wheel is dropped .",,,,,,
