decision_id,meeting_id,source_sentence_id,sentence_text,evidence_da_count,evidence_text,status,decision_object,decision_content,annotator,notes,machine_flags
ES2008c.d02,ES2008c,ES2008c.rdhillon.s.13,The remote will use a kinetic battery.,3,B: what do people think about this kinetic battery idea ? | A: <vocalsound> I think it's awesome . I think it's really cool . | B: I think it might be better to put our money into the stuff like the kinetic battery and the cool case,,,,,,frase_corta
ES2008c.d03,ES2008c,ES2008c.rdhillon.s.14,The remote will have a latex case.,3,"D: but if it's gonna be in a latex type thing and that's gonna look cool , then that's probably gonna have a bigger impact than the scroll wheel . | B: Uh I'm kinda liking the idea of latex , if if spongy is the in thing . | B: what I've seen , just not related to this , but of latex cases before , is that <vocalsound> there's uh like a hard plastic inside , and it's just covered with the latex .",,,,,,frase_corta
ES2008c.d04,ES2008c,ES2008c.rdhillon.s.15,The remote will be made in fruity colors.,1,"A: Um and probably in colours , maybe fruity , vegetable colours .",,,,,,
ES2008c.d05,ES2008c,ES2008c.rdhillon.s.16,The remote will have some sort of a curved case.,0,,,,,,,sin_evidencia
ES2008c.d06,ES2008c,ES2008c.rdhillon.s.17,The remote will have pushbuttons.,2,"C: Um <disfmarker> And I think if we wanna keep our costs down , we should just go for pushbuttons , | A: we're gonna go with um type pushbuttons ,",,,,,,frase_corta
ES2008c.d07,ES2008c,ES2008c.rdhillon.s.18,"The remote will have a power button, volume buttons, channel preset buttons, and a menu button.",3,"A: So we're gonna have like a menu button , | C: uh volume , favourite channels , uh and menu . | A: Pre-set channels",,,,,,posible_compuesta
ES2008c.d08,ES2008c,ES2008c.rdhillon.s.19,The remote will have a simple chip.,2,A: Let's go with a simple chip ? | A: Um did we decide on a chip ?,,,,,,frase_corta
ES2008d.d01,ES2008d,ES2008d.rdhillon.s.11,The remote will resemble the potato prototype.,5,"B: is that where people are leaning then , the potato ? | A: Variety of colours are nice . | A: I think I'm leaning towards the potato . | B: that's really gotten the simplicity of the buttons down , that one . | C: Potato .",,,,,,
ES2008d.d02,ES2008d,ES2008d.rdhillon.s.12,There will be no feature to help find the remote when it is misplaced; instead the remote will be in a bright color to address this issue.,3,"A: Um we <disfmarker> so we do we've decided not to worry about that for now . | A: 'cause <disfmarker> well , the designs are very bright , | A: so you're right , they're gonna stick out ,",,,,,,
ES2008d.d03,ES2008d,ES2008d.rdhillon.s.13,The corporate logo will be on the remote.,3,A: Um and can we have like an R_R_ inscribed on the bottom or something ? | A: so let's let's make sure we keep that in mind that we ha that one of our colours concepts is corporate and has an R_R_ on it . | B: I think all of them should have an R_R_ .,,,,,,frase_corta
ES2008d.d04,ES2008d,ES2008d.rdhillon.s.14,One of the color concepts for the remote will contain the corporate colors.,1,"A: but if we had all the buttons in black , and a design in <disfmarker> and the outside in yellow , that'd be our corporate one",,,,,,
ES2008d.d05,ES2008d,ES2008d.rdhillon.s.15,The remote will have six buttons.,1,D: We have six .,,,,,,frase_corta
ES2008d.d06,ES2008d,ES2008d.rdhillon.s.16,The buttons will all be one color.,1,B: let's have our buttons all be one colour .,,,,,,
ES2008d.d07,ES2008d,ES2008d.rdhillon.s.17,The case will be single curve.,2,"A: Maybe it's single-curved , | B: <vocalsound> It's single curved .",,,,,,frase_corta
ES2008d.d08,ES2008d,ES2008d.rdhillon.s.18,The case will be made of rubber.,1,A: case material is rubber,,,,,,frase_corta
ES2008d.d09,ES2008d,ES2008d.rdhillon.s.19,The case will have a special color.,1,"A: and it's a special colour ,",,,,,,frase_corta
