pair_id,earlier_decision_id,later_decision_id,earlier_sentence_id,later_sentence_id,earlier_text,later_text,blocker_score,relation,direction_ok,confidence,annotator,notes
IS1004.r144,IS1004b.d05,IS1004d.d06,IS1004b.elana.s.17,IS1004d.elana.s.16,"Because of budget restrictions, they cannot do speech recognition technologies.",Weight of an actual banana but a special shade of yellow.,0.0,,,,,
IS1004.r051,IS1004a.d02,IS1004d.d09,IS1004a.elana.s.15,IS1004d.elana.s.19,The target selling price will be 25 Euro dollars.,"For pricing reasons eliminate solar cells - use rechargable batteries as power source, base station used for battery-charging which should last 8-10 hours depending on frequency of use.",0.0,,,,,
IS1004.r175,IS1004c.d01,IS1004d.d08,IS1004c.elana.s.28,IS1004d.elana.s.18,"Thus far, LCD and ASR have been ruled out.",Three push buttons.,0.0,,,,,
IS1004.r108,IS1004b.d02,IS1004d.d01,IS1004b.elana.s.14,IS1004d.elana.s.11,"The remote control should be fancy, a good shape, and not too small or too big.","It will be shaped like a banana, with an base station resembling a banana leaf for it to sit on.",0.0,,,,,
IS1004.r057,IS1004a.d03,IS1004d.d03,IS1004a.elana.s.16,IS1004d.elana.s.13,They will target the international market.,"Will contain a teletext button, when pressed teletext appears and channel selector can be used to navigate through the teletext.",0.0,,,,,
IS1004.r115,IS1004b.d02,IS1004d.d09,IS1004b.elana.s.14,IS1004d.elana.s.19,"The remote control should be fancy, a good shape, and not too small or too big.","For pricing reasons eliminate solar cells - use rechargable batteries as power source, base station used for battery-charging which should last 8-10 hours depending on frequency of use.",0.0,,,,,
IS1004.r151,IS1004b.d06,IS1004d.d01,IS1004b.elana.s.18,IS1004d.elana.s.11,Corporate logo will be clearly displayed on product.,"It will be shaped like a banana, with an base station resembling a banana leaf for it to sit on.",0.0,,,,,
IS1004.r072,IS1004a.d04,IS1004d.d06,IS1004a.elana.s.17,IS1004d.elana.s.16,They will generate a proft of fifty million Euros.,Weight of an actual banana but a special shade of yellow.,0.0,,,,,
IS1004.r002,IS1004a.d02,IS1004b.d03,IS1004a.elana.s.15,IS1004b.elana.s.15,The target selling price will be 25 Euro dollars.,To target towards young people will bring in new technology.,0.2,,,,,
IS1004.r041,IS1004a.d01,IS1004d.d09,IS1004a.elana.s.14,IS1004d.elana.s.19,The project goal is to develop a new remote control.,"For pricing reasons eliminate solar cells - use rechargable batteries as power source, base station used for battery-charging which should last 8-10 hours depending on frequency of use.",0.0,,,,,
IS1004.r172,IS1004c.d01,IS1004d.d05,IS1004c.elana.s.28,IS1004d.elana.s.15,"Thus far, LCD and ASR have been ruled out.",The control will be the approx.,0.0,,,,,
IS1004.r088,IS1004b.d05,IS1004c.d02,IS1004b.elana.s.17,IS1004c.elana.s.29,"Because of budget restrictions, they cannot do speech recognition technologies.","The remote will have a base station, a button on the base station to press, 2 scroll wheels for the channels and volume, a turbo button (possibly underneath the device), and an on/off button for the TV.",0.0,,,,,
IS1004.r156,IS1004b.d06,IS1004d.d06,IS1004b.elana.s.18,IS1004d.elana.s.16,Corporate logo will be clearly displayed on product.,Weight of an actual banana but a special shade of yellow.,0.0,,,,,
IS1004.r040,IS1004a.d01,IS1004d.d08,IS1004a.elana.s.14,IS1004d.elana.s.18,The project goal is to develop a new remote control.,Three push buttons.,0.0,,,,,
IS1004.r168,IS1004c.d01,IS1004d.d01,IS1004c.elana.s.28,IS1004d.elana.s.11,"Thus far, LCD and ASR have been ruled out.","It will be shaped like a banana, with an base station resembling a banana leaf for it to sit on.",0.0,,,,,
IS1004.r087,IS1004b.d05,IS1004c.d01,IS1004b.elana.s.17,IS1004c.elana.s.28,"Because of budget restrictions, they cannot do speech recognition technologies.","Thus far, LCD and ASR have been ruled out.",0.0,,,,,
IS1004.r177,IS1004c.d01,IS1004d.d10,IS1004c.elana.s.28,IS1004d.elana.s.20,"Thus far, LCD and ASR have been ruled out.",For pricing reasons they will use a regular chip for the control rather than advanced one.,0.0,,,,,
IS1004.r169,IS1004c.d01,IS1004d.d02,IS1004c.elana.s.28,IS1004d.elana.s.12,"Thus far, LCD and ASR have been ruled out.","The volume scroll wheel will be on the left, channel scroll on the right.",0.0,,,,,
IS1004.r098,IS1004b.d02,IS1004d.d10,IS1004b.elana.s.14,IS1004d.elana.s.20,"The remote control should be fancy, a good shape, and not too small or too big.",For pricing reasons they will use a regular chip for the control rather than advanced one.,0.125,,,,,
IS1004.r025,IS1004a.d02,IS1004c.d01,IS1004a.elana.s.15,IS1004c.elana.s.28,The target selling price will be 25 Euro dollars.,"Thus far, LCD and ASR have been ruled out.",0.0,,,,,
IS1004.r092,IS1004b.d02,IS1004d.d05,IS1004b.elana.s.14,IS1004d.elana.s.15,"The remote control should be fancy, a good shape, and not too small or too big.",The control will be the approx.,0.5,,,,,
IS1004.r089,IS1004b.d06,IS1004c.d01,IS1004b.elana.s.18,IS1004c.elana.s.28,Corporate logo will be clearly displayed on product.,"Thus far, LCD and ASR have been ruled out.",0.0,,,,,
IS1004.r068,IS1004a.d04,IS1004d.d02,IS1004a.elana.s.17,IS1004d.elana.s.12,They will generate a proft of fifty million Euros.,"The volume scroll wheel will be on the left, channel scroll on the right.",0.0,,,,,
IS1004.r012,IS1004a.d03,IS1004b.d01,IS1004a.elana.s.16,IS1004b.elana.s.13,They will target the international market.,The remote control will be for television only.,0.0,,,,,
IS1004.r118,IS1004b.d03,IS1004d.d02,IS1004b.elana.s.15,IS1004d.elana.s.12,To target towards young people will bring in new technology.,"The volume scroll wheel will be on the left, channel scroll on the right.",0.0,,,,,
IS1004.r138,IS1004b.d04,IS1004d.d12,IS1004b.elana.s.16,IS1004d.elana.s.22,A wheel should be used to navigate.,For pricing reasons they eliminate the turbo button.,0.0,,,,,
IS1004.r032,IS1004a.d01,IS1004d.d10,IS1004a.elana.s.14,IS1004d.elana.s.20,The project goal is to develop a new remote control.,For pricing reasons they will use a regular chip for the control rather than advanced one.,0.16666666666666666,,,,,
IS1004.r097,IS1004b.d02,IS1004d.d11,IS1004b.elana.s.14,IS1004d.elana.s.21,"The remote control should be fancy, a good shape, and not too small or too big.","For pricing reasons the remote will have a single, not double curve.",0.16666666666666666,,,,,
IS1004.r021,IS1004a.d04,IS1004b.d05,IS1004a.elana.s.17,IS1004b.elana.s.17,They will generate a proft of fifty million Euros.,"Because of budget restrictions, they cannot do speech recognition technologies.",0.0,,,,,
